Timestamp,CableLength,CableWeightMeter,CableRadius,CableVolumeMeter,WaterDensity,Gravity,PayloadWeight,PayloadVolume,WinchRadius,WinchWeight,WinchFriction,CableLengthOnWinch,CableLengthInWater,CableSpeed,CableAcceleration,WinchAngularSpeed,WinchAngularAcceleration,MotorTorque,MotorPower,Motor1Current,Motor2Current,Motor3Current,Motor4Current,Motor5Current,Motor6Current,Id
11/13/2025 16:27:57,2000,10,0.025,0.0019634955,1025,9.81,20000,20,0.8,1000,0,2000,0,0,0,0,0,-3924.0002,0,0,0,0,0,0,0,1
11/13/2025 16:27:57,2000,10,0.025,0.0019634955,1025,9.81,20000,20,0.8,1000,0,1999.9517,0.04839693,0.069567904,0.1,0.1,0.125,-6760.9946,0.58793527,0.27849564,0.26302367,0.23207971,0.2475517,0.3094396,0.18566376,2
11/13/2025 16:27:58,2000,10,0.025,0.0019634955,1025,9.81,20000,20,0.8,1000,0,1999.884,0.11591208,0.124010846,0.1,0.1,0.125,-6756.804,1.0473963,0.49613512,0.46857202,0.41344592,0.44100896,0.55126125,0.33075672,3
11/13/2025 16:27:58,2000,10,0.025,0.0019634955,1025,9.81,20000,20,0.8,1000,0,1999.789,0.21106997,0.17759289,0.1,0.1,0.125,-6750.8833,1.4986361,0.7098803,0.67044246,0.5915669,0.6310047,0.7887559,0.47325352,4
11/13/2025 16:27:59,2000,10,0.025,0.0019634955,1025,9.81,20000,20,0.8,1000,0,1999.666,0.3340241,0.23085356,0.1,0.1,0.125,-6743.2627,1.9458829,0.921734,0.8705266,0.7681117,0.8193191,1.0241488,0.6144893,5
11/13/2025 16:27:59,2000,10,0.025,0.0019634955,1025,9.81,20000,20,0.8,1000,0,1999.507,0.49302182,0.28637448,0.1,0.1,0.125,-6733.3945,2.4103403,1.1417402,1.0783101,0.95145017,1.0148802,1.2686001,0.76116014,6
11/13/2025 16:28:00,2000,10,0.025,0.0019634955,1025,9.81,20000,20,0.8,1000,0,1999.3208,0.679242,0.34098664,0.1,0.1,0.125,-6721.826,2.8650663,1.3571366,1.2817402,1.1309472,1.2063438,1.5079296,0.9047578,7
11/13/2025 16:28:01,2000,10,0.025,0.0019634955,1025,9.81,20000,20,0.8,1000,0,1999.1106,0.8894064,0.39428878,0.1,0.1,0.125,-6708.7856,3.3064988,1.5662363,1.4792231,1.3051969,1.39221,1.7402625,1.0441575,8
11/13/2025 16:28:01,2000,10,0.025,0.0019634955,1025,9.81,20000,20,0.8,1000,0,1998.8772,1.1227638,0.44654697,0.1,0.1,0.125,-6694.287,3.7366424,1.7699885,1.6716558,1.4749904,1.5733231,1.966654,1.1799923,9
11/13/2025 16:28:02,2000,10,0.025,0.0019634955,1025,9.81,20000,20,0.8,1000,0,1998.6227,1.3773634,0.497702,0.1,0.1,0.125,-6678.4834,4.154868,1.9680954,1.8587568,1.6400795,1.7494183,2.1867728,1.3120636,10
